Project;Date;StartTime;EndTime;Duration;Billable;Tags;Description;TaskList;Task
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);17/05/2023;11:00;18:00;7:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);18/05/2023;14:00;15:00;1:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);23/05/2023;14:00;17:00;1:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);25/05/2023;9:00;11:00;2:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);29/05/2023;10:00;13:00;3:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);30/05/2023;12:00;14:00;2:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);07/06/2023;11:00;15:00;4:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);08/06/2023;15:00;16:00;1:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);09/06/2023;9:00;13:30;4:30;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
Alpha Bank - ITOM & Automation Tools Upgrades & Services (ΕΡΓ2425);12/06/2023;9:00;16:00;7:00;1;;;WP2. Evolution of Standalone Operations Orchestration (OO) to Process Automation Platform;OO Upgrade
